frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1,502.4490966796875 908.891357421875 969.0831298828125 1325.906982421875,car,639.633056640625 1186.716552734375 806.831298828125 1228.115478515625,0.46833115816116333,NA13NRU,0.7586589882750304
1,1,500.2837829589844 911.2384643554688 969.0999145507812 1329.478271484375,car,632.7362060546875 1191.3070068359375 809.1829833984375 1230.0499267578125,0.34044820070266724,NA13NRU,0.9385496061306335
2,1,496.26422119140625 915.4352416992188 965.8408203125 1335.29638671875,car,626.6262817382812 1198.1221923828125 804.4928588867188 1237.9093017578125,0.3358815610408783,NM13NRU,0.3071078311162426
3,1,493.1739807128906 920.7678833007812 965.988525390625 1342.3282470703125,car,627.474365234375 1204.316650390625 797.933837890625 1246.912353515625,0.3137259781360626,NA13NRU,0.5183619032869251
4,1,491.6048583984375 923.5220336914062 965.2930297851562 1346.53662109375,car,631.2001953125 1205.16259765625 799.79296875 1247.52392578125,0.3884246051311493,MMJNRU,0.9198871982614207
5,1,487.62896728515625 926.4367065429688 963.0333251953125 1353.923583984375,car,627.9990234375 1212.242919921875 798.24072265625 1252.309814453125,0.7322004437446594,NA13NRU,0.6533965396805571
6,1,484.4293518066406 930.6912231445312 961.912841796875 1360.49365234375,car,618.9312744140625 1214.83740234375 791.9664306640625 1259.97900390625,0.49172383546829224,NA13NRU,0.41116819290830336
7,1,482.8394775390625 931.4810180664062 960.8624267578125 1364.3428955078125,car,615.5795288085938 1219.750732421875 795.7553100585938 1262.380615234375,0.5369925498962402,NA13NRU,0.7833271947741911
8,1,478.1409606933594 937.2228393554688 958.3699951171875 1371.897216796875,car,616.7263793945312 1228.41552734375 790.7534790039062 1274.2705078125,0.5862826108932495,NA13NRU,0.28173711531019346
9,1,475.3470153808594 943.4791870117188 956.6336059570312 1377.825927734375,car,610.6156005859375 1234.9075927734375 786.6729736328125 1279.2935791015625,0.42312091588974,NA13NRU,0.6742347048708598
10,1,473.3245544433594 948.0053100585938 954.7293701171875 1381.6484375,car,609.275146484375 1239.49853515625 784.995849609375 1283.541015625,0.712632954120636,NA13NRV,0.3251882717793939
11,1,470.0744323730469 954.1585083007812 952.2921752929688 1387.7457275390625,car,610.7048950195312 1245.728759765625 784.4434204101562 1287.881591796875,0.6839935779571533,NA13NRU,0.18712140277195413
12,1,464.9308166503906 958.9501953125 950.2679443359375 1393.932373046875,car,604.7835693359375 1248.733154296875 784.0794677734375 1293.758056640625,0.4637549817562103,NA13NRV,0.6104389537687861
13,1,463.6343994140625 961.9766845703125 950.3652954101562 1397.9412841796875,car,606.19775390625 1255.110595703125 782.902587890625 1299.486083984375,0.5844845175743103,NA13NRU,0.41846582192505655
14,1,461.1855163574219 967.1821899414062 947.9448852539062 1404.2935791015625,car,614.2626953125 1262.81201171875 783.1160888671875 1302.91748046875,0.4591135084629059,NA13NRU,0.4315461340495439
15,1,457.4440612792969 972.9471435546875 946.26953125 1410.5953369140625,car,594.2815551757812 1267.6025390625 777.7688598632812 1310.79345703125,0.4929525554180145,MA13NRU,0.9030393731563067
16,1,455.57196044921875 977.6482543945312 944.9959716796875 1414.622802734375,car,589.725830078125 1272.8116455078125 776.487060546875 1314.5364990234375,0.7353276014328003,NA13NRU,0.6969270257360571
17,1,450.5195617675781 982.3782348632812 942.4116821289062 1420.4991455078125,car,598.570556640625 1275.7296142578125 782.468994140625 1319.0545654296875,0.7847802639007568,NA13NRU,0.500288807748989
18,1,447.4504089355469 987.3121948242188 940.6753540039062 1425.94091796875,car,590.435546875 1278.06298828125 777.8056640625 1324.79296875,0.7396539449691772,NA13NRU,0.32885921059141293
19,1,445.5936584472656 991.2639770507812 938.93701171875 1428.7950439453125,car,588.8936767578125 1283.66943359375 775.0286865234375 1328.85595703125,0.7434005737304688,NA13NRU,0.728009717760054
20,1,442.5484924316406 994.0398559570312 938.4619750976562 1430.49462890625,car,590.3095703125 1292.9166259765625 769.743408203125 1339.8763427734375,0.7926251292228699,NA13NRU,0.30270833040058764
21,1,440.14892578125 1000.40478515625 936.6469116210938 1433.68212890625,car,585.975830078125 1295.4927978515625 765.931640625 1345.3514404296875,0.6050407290458679,MIJMRU,0.7755630578253907
22,1,438.3161315917969 1002.39404296875 936.5657958984375 1434.3955078125,car,586.1778564453125 1308.2493896484375 766.5447998046875 1347.8297119140625,0.5740047693252563,NA13MRU,0.7716046138744614
23,1,435.56817626953125 1008.651611328125 935.5983276367188 1435.646728515625,car,577.422119140625 1308.85205078125 769.311279296875 1355.013427734375,0.7631396651268005,NA13MRU,0.8420451215301792
24,1,432.5852355957031 1014.2047119140625 934.950439453125 1436.4593505859375,car,582.552490234375 1317.2620849609375 765.5396728515625 1361.3194580078125,0.5309728384017944,NA13MRU,0.6758571300760006
25,1,429.6144104003906 1018.78173828125 934.6016845703125 1435.78271484375,car,578.5577392578125 1322.613037109375 761.0916748046875 1369.101806640625,0.7584485411643982,NA13NRU,0.9525919440914454
26,1,425.9946594238281 1021.9802856445312 933.3936767578125 1436.2431640625,car,569.2496337890625 1330.451416015625 753.5775146484375 1374.798095703125,0.5001410841941833,NA13NRU,0.6091113297803145
27,1,424.439697265625 1028.3597412109375 932.7381591796875 1435.713623046875,car,572.642822265625 1338.51806640625 753.2890625 1379.98779296875,0.6374460458755493,NA13MRU,0.5400879107566569
28,1,422.2248229980469 1033.017822265625 932.4214477539062 1434.71484375,car,567.3186645507812 1339.919189453125 751.6447143554688 1381.34912109375,0.3855401873588562,NA13MRU,0.47499797469110744
29,1,417.77001953125 1038.7626953125 931.583984375 1435.563720703125,car,578.4175415039062 1347.7724609375 753.1593627929688 1388.52587890625,0.3074761629104614,NALJHRU,0.5339931311335869
30,1,413.7762145996094 1043.7750244140625 931.018310546875 1435.99560546875,car,573.0363159179688 1358.695556640625 749.0490112304688 1400.952880859375,0.26946496963500977,NA13NRU,0.4996512495176108
10,2,1448.627197265625 801.9616088867188 1892.265380859375 1192.6746826171875,car,1609.41259765625 1080.17919921875 1730.5068359375 1120.47509765625,0.3078407049179077,MI51TSW,0.03994051182659482
11,2,1449.299560546875 805.5283203125 1894.4508056640625 1198.4754638671875,car,1614.78857421875 1082.73388671875 1731.04736328125 1123.033935546875,0.272142231464386,MT51VSU,0.12149246440556201
12,2,1449.4588928222656 808.9485931396484 1895.6441955566406 1202.9469604492188,0,1612.7682495117188 1086.176025390625 1731.7896728515625 1127.4133911132812,0,0,0
13,2,1449.6182250976562 812.3688659667969 1896.8375854492188 1207.41845703125,0,1610.7479248046875 1089.6181640625 1732.531982421875 1131.7928466796875,0,0,0
14,2,1449.7775573730469 815.7891387939453 1898.0309753417969 1211.8899536132812,0,1608.7276000976562 1093.060302734375 1733.2742919921875 1136.1723022460938,0,0,0
15,2,1449.9368896484375 819.2094116210938 1899.224365234375 1216.3614501953125,car,1606.707275390625 1096.50244140625 1734.0166015625 1140.5517578125,0.4277929365634918,MMSISW,0.08217774151316212
16,2,1450.3692626953125 821.4871520996094 1900.4529418945312 1220.1724853515625,0,1610.8370971679688 1102.6959228515625 1735.5642700195312 1144.32568359375,0,0,0
17,2,1450.8016357421875 823.764892578125 1901.6815185546875 1223.9835205078125,car,1614.9669189453125 1108.889404296875 1737.1119384765625 1148.099609375,0.3665387034416199,MV51VSU,0.175791901205107
18,2,1451.1380615234375 827.7644653320312 1903.2822265625 1229.44921875,car,1615.7774658203125 1114.7125244140625 1738.0972900390625 1154.9371337890625,0.4311266839504242,MU51VSU,0.11298710248176655
19,2,1451.1700439453125 828.35205078125 1904.060302734375 1231.8974609375,car,1616.819091796875 1116.08203125 1737.5498046875 1155.81982421875,0.43265217542648315,MEIVSV,0.03097564462425274
20,2,1451.2598876953125 830.5309448242188 1905.7109375 1238.135009765625,0,1616.2384033203125 1119.0675048828125 1739.97998046875 1161.3424072265625,0,0,0
21,2,1451.3497314453125 832.7098388671875 1907.361572265625 1244.37255859375,car,1615.65771484375 1122.052978515625 1742.41015625 1166.864990234375,0.5640917420387268,HI51VSU,0.01154633008727714
22,2,1450.9892578125 834.3008422851562 1909.233154296875 1247.840576171875,car,1618.032958984375 1124.7529296875 1742.065673828125 1170.37109375,0.7565642595291138,MI51WSU,0.053708923510383366
23,2,1451.4195556640625 837.3103637695312 1913.8074951171875 1253.39990234375,car,1617.27685546875 1131.683349609375 1745.18115234375 1178.399658203125,0.7302955985069275,MIEWSU,0.03174902906654267
24,2,1451.631103515625 842.9207763671875 1915.2708740234375 1259.0279541015625,car,1614.63427734375 1136.7259521484375 1747.2939453125 1181.3499755859375,0.5073460340499878,MISU,0.31490978598594666
25,2,1452.1602783203125 847.4312744140625 1916.0611572265625 1262.1845703125,car,1614.1058349609375 1140.137939453125 1750.0032958984375 1184.647705078125,0.5592532753944397,HSIWSU,0.08319938800915783
26,2,1452.6522216796875 847.443603515625 1917.3818359375 1268.779541015625,car,1621.840087890625 1146.61328125 1746.229736328125 1187.565673828125,0.4315437078475952,MSITSU,0.08319233524087954
27,2,1453.4846598307292 851.6926676432291 1918.482666015625 1273.6389973958333,0,1625.2433268229167 1150.966064453125 1748.1175130208333 1192.415771484375,0,0,0
28,2,1454.3170979817708 855.9417317708334 1919.58349609375 1278.4984537760417,0,1628.6465657552083 1155.31884765625 1750.0052897135417 1197.265869140625,0,0,0
29,2,1455.1495361328125 860.1907958984375 1920.684326171875 1283.35791015625,car,1632.0498046875 1159.671630859375 1751.89306640625 1202.115966796875,0.4869711697101593,ISITSU,0.07055892656373294
30,2,1455.9989013671875 863.2501220703125 1922.6207275390625 1289.5401611328125,car,1625.723876953125 1165.28369140625 1755.127197265625 1210.05126953125,0.6813634037971497,MSISU,0.12152166502914695
31,2,1455.9305419921875 865.781982421875 1923.125732421875 1292.6641845703125,car,1628.72705078125 1169.061767578125 1758.09814453125 1211.741943359375,0.5217503309249878,NSISU,0.24677032548521452
32,2,1456.4002685546875 871.7586059570312 1925.6947021484375 1299.1805419921875,car,1632.4759521484375 1176.39599609375 1757.1639404296875 1217.30712890625,0.5589006543159485,NWEITSU,0.21581958297101264
33,2,1456.2515869140625 876.6047973632812 1929.9974365234375 1305.1295166015625,car,1635.231201171875 1180.1175537109375 1756.619873046875 1222.2615966796875,0.7996600270271301,NSISU,0.43909275405240134
34,2,1456.42919921875 878.4856567382812 1931.95947265625 1308.6602783203125,car,1638.704833984375 1183.1297607421875 1753.810302734375 1224.1649169921875,0.7888739705085754,ISEU,0.10194853693246841
35,2,1456.52880859375 881.7296752929688 1933.23974609375 1313.0499267578125,car,1637.409423828125 1188.02392578125 1760.485107421875 1232.93310546875,0.8101847767829895,MVEV,0.06530242413282394
36,2,1457.9122314453125 887.3818969726562 1935.7645263671875 1318.2769775390625,car,1634.61083984375 1193.654052734375 1764.4453125 1237.930908203125,0.8099254965782166,ISUEU,0.04561842783913764
37,2,1458.18896484375 889.7314453125 1936.7861328125 1321.7828369140625,car,1631.654296875 1195.99658203125 1763.29931640625 1242.8369140625,0.8303908109664917,DRSU,0.01647067256271839
38,2,1458.1656494140625 894.0108032226562 1940.49169921875 1329.0274658203125,car,1632.472412109375 1199.466552734375 1767.26513671875 1247.03515625,0.7178238034248352,ISW,0.25101618003350623
39,2,1458.562744140625 899.3431396484375 1942.2320556640625 1335.9835205078125,car,1640.965576171875 1209.10888671875 1766.374267578125 1251.646484375,0.38847365975379944,None,0.0
40,2,1458.9248046875 900.7159423828125 1943.8043212890625 1339.6629638671875,car,1643.1435546875 1211.4794921875 1764.31005859375 1253.09814453125,0.5272198915481567,MBWSU,0.0698647453307504
41,2,1459.1044311523438 904.8312377929688 1947.2225341796875 1345.2974853515625,0,1638.232177734375 1215.1666870117188 1768.1416015625 1260.0764770507812,0,0,0
42,2,1459.2840576171875 908.946533203125 1950.6407470703125 1350.9320068359375,car,1633.32080078125 1218.8538818359375 1771.97314453125 1267.0548095703125,0.5151243805885315,IVBIBSU,0.09687451371782459
43,2,1459.5018310546875 910.8270874023438 1951.7205810546875 1354.932373046875,car,1632.498046875 1222.460693359375 1771.5029296875 1270.432373046875,0.5543518662452698,MV51ESU,0.22482994744118967
44,2,1460.6021728515625 914.8251342773438 1955.0775146484375 1361.5147705078125,car,1633.08740234375 1229.1346435546875 1774.43408203125 1276.9913330078125,0.36397483944892883,MBIS0,0.15824835824446007
45,2,1461.2401123046875 919.4193115234375 1958.020263671875 1368.1005859375,car,1643.7637939453125 1239.655029296875 1777.9012451171875 1283.543212890625,0.4377526342868805,HWEISU,0.19421998087260617
46,2,1461.31787109375 922.2019653320312 1958.50390625 1371.3895263671875,car,1644.1474609375 1243.765380859375 1777.388427734375 1285.696044921875,0.6197300553321838,MLSISU,0.2482751906259001
47,2,1462.386474609375 925.5925903320312 1960.4505615234375 1378.16064453125,car,1647.7640380859375 1248.330078125 1779.4063720703125 1291.181640625,0.6676039099693298,LV51VSW,0.049361750332356444
48,2,1462.8167724609375 930.623291015625 1962.36767578125 1384.259521484375,car,1644.7734375 1253.671142578125 1782.115234375 1299.423583984375,0.7882999777793884,NLBIVSU,0.09976732019552823
49,2,1462.4803466796875 934.6196899414062 1962.8367919921875 1388.8052978515625,car,1644.03466796875 1256.4444580078125 1782.8310546875 1302.6932373046875,0.8132259845733643,NIBVSU,0.14431419850473998
50,2,1463.4862060546875 939.141845703125 1965.409423828125 1395.0792236328125,car,1644.082763671875 1261.418212890625 1786.544189453125 1310.06787109375,0.7290779948234558,DITIEW,0.1698104321408576
51,2,1464.2102661132812 943.0725708007812 1966.8468627929688 1400.3289184570312,0,1646.93798828125 1266.7593994140625 1787.1259765625 1313.629150390625,0,0,0
52,2,1464.934326171875 947.0032958984375 1968.2843017578125 1405.57861328125,car,1649.793212890625 1272.1005859375 1787.707763671875 1317.1904296875,0.3888550400733948,FWSV,0.0402398556470871
53,2,1465.414794921875 953.3340148925781 1971.9746704101562 1412.6331787109375,0,1652.1393432617188 1278.966064453125 1789.9304809570312 1323.904052734375,0,0,0
54,2,1465.895263671875 959.6647338867188 1975.6650390625 1419.687744140625,car,1654.4854736328125 1285.83154296875 1792.1531982421875 1330.61767578125,0.5442138314247131,IEISU,0.09152526192054963
55,2,1466.503662109375 961.430419921875 1978.01904296875 1422.908447265625,car,1651.056640625 1288.611083984375 1794.748046875 1335.8798828125,0.38521313667297363,LDESU,0.04345733623988074
56,2,1467.34814453125 965.1733154296875 1981.0278564453124 1425.1325439453126,0,1652.517236328125 1294.52412109375 1796.644580078125 1341.59072265625,0,0,0
57,2,1468.192626953125 968.9162109375 1984.036669921875 1427.356640625,0,1653.97783203125 1300.437158203125 1798.54111328125 1347.3015625,0,0,0
58,2,1469.037109375 972.6591064453125 1987.0454833984375 1429.5807373046875,0,1655.438427734375 1306.3501953125 1800.437646484375 1353.01240234375,0,0,0
59,2,1469.881591796875 976.402001953125 1990.054296875 1431.804833984375,0,1656.8990234375 1312.263232421875 1802.3341796875 1358.7232421875,0,0,0
60,2,1470.72607421875 980.1448974609375 1993.0631103515625 1434.0289306640625,car,1658.359619140625 1318.17626953125 1804.230712890625 1364.43408203125,0.4308806359767914,MEISV,0.10077406095088978
61,2,1471.9298095703125 983.1630249023438 1994.9522705078125 1434.3220825195312,0,1660.6985473632812 1323.4678955078125 1806.6508178710938 1370.5140380859375,0,0,0
62,2,1473.133544921875 986.18115234375 1996.8414306640625 1434.615234375,car,1663.0374755859375 1328.759521484375 1809.0709228515625 1376.593994140625,0.48286211490631104,MIEISU,0.03363622454332882
